unidentifiable	x/nY/dEn/tI/fY/x/bxl
label	le/bxl
labels	le/bxlz
later	le/tR
latest	le/tIst
laying	le/IG
leader	li/dR
leading	li/dIG
leaking	li/kIG
leaning	li/nIG
leaving	li/vIG
lever	li/vR
lighted	lY/tId
lighter	lY/tR
liking	lY/kIG
lining	lY/nIG
lion	lY/xn
lions	lY/xnz
liter	li/tR
loosen	lu/sIn
loosens	lu/sInz
losing	lu/zIG
lotion	lo/SIn
louder	lW/dR
lower	lo/R
luis	lu/Is
luther	lu/TR
lying	lY/IG
lysol	lY/scl
making	me/kIG
maple	me/pxl
mason	me/sIn
mayor	me/R
meeting	mi/tIG
michael	mY/kxl
michael's	mY/kxlz
moaning	mo/nIG
molar	mo/lR
moment	mo/mInt
moments	mo/mInts
moses	mo/zIz
motive	mo/tIv
motor	mo/tR
mouses	mW/sIz
mouthing	mW/DIG
moving	mu/vIG
mower	mo/R
mowing	mo/IG
muses	myu/zIz
music	myu/zIk
naked	ne/kId
nathan	ne/Txn
nation	ne/SIn
nations	ne/SInz
neatest	ni/tIst
needed	ni/dId
needing	ni/dIG
needle	ni/dxl
neighbor	ne/bR
neighbors	ne/bRz
neighbor's	ne/bRz
neither	ni/DR
neutral	nu/trxl
nicest	nY/sIst
noah's	no/xz
noises	nO/zIz
noodle	nu/dxl
noodles	nu/dxlz
noses	no/zIz
notice	no/tIs
noticed	no/tIst
nuisance	nu/sIns
ocean	o/SIn
open	o/pxn
opened	o/pxnd
opens	o/pxnz
outer	W/tR
oval	o/vxl
over	o/vR
owner	o/nR
pager	pe/JR
pages	pe/JIz
paging	pe/JIG
paper	pe/pR
papers	pe/pRz
patience	pe/SIns
patient	pe/SInt
patients	pe/SInts
paying	pe/IG
payment	pe/mInt
peaches	pi/CIz
peeing	pi/IG
peeling	pi/lIG
peeping	pi/pIG
people	pi/pxl
people's	pi/pxlz
peter	pi/tR
peter's	pi/tRz
pieces	pi/sIz
piping	pY/pIG
places	ple/sIz
planing	ple/nIG
player	ple/R
playful	ple/fxl
playing	ple/IG
poison	pO/zIn
poking	po/kIG
polar	po/lR
poodle	pu/dxl
pooping	pu/pIG
poser	po/zR
potent	po/txnt
pouting	pW/tIG
powder	pW/dR
power	pW/R
private	prY/vxt
protest	pro/tEst
proving	pru/vIG
quiet	kwY/It
races	re/sIz
racing	re/sIG
railing	re/lIG
raining	re/nIG
raisin	re/zIn
raising	re/zIG
raisins	re/zInz
raven	re/vxn
ravens	re/vInz
raying	re/IG
raymond	re/mxnd
razor	re/zR
reaches	ri/CIz
reaching	ri/CIG
reading	rE/dIG
reason	ri/zIn
rhyming	rY/mIG
riders	rY/dRz
riding	rY/dIG
roaming	ro/mIG
roller	ro/lR
rolling	ro/lIG
roofing	rU/fIG
roses	ro/zIz
router	rW/tR
rover	ro/vR
ruin	ru/In
ryan	rY/In
safer	se/fR
safest	se/fIst
sailing	se/lIG
sailor	se/lR
sailors	se/lRz
saving	se/vIG
savings	se/vIGz
saying	se/IG
science	sY/Ins
scooping	sku/pIG
scooter	sku/tR
scooting	sku/tIG
scraping	skre/pIG
screaming	skri/mIG
screecher	skri/tSR
screwy	skru/i
season	si/zIn
seasons	si/zInz
secret	si/krIt
secrets	si/krIts
seeing	si/IG
sewer	so/R
sewing	so/IG
shaking	Se/kIG
shielded	Sil/dId
shining	SY/nIG
shoeless	Su/lIs
shooting	Su/tIG
shouted	SW/tId
shouting	SW/tIG
shower	SW/R
showing	So/IG
signing	sY/nIG
silence	sY/lIns
silent	sY/lInt
siren	sY/rIn
sizes	sY/zIz
skating	ske/tIG
sleeper	sli/pR
sleeping	sli/pIG
sliding	slY/dIG
slouching	slW/CIG
slower	slo/R
smiling	smY/lIG
smoother	smu/DR
sneaking	sni/kIG
sneezes	sni/zIz
sneezing	sni/zIG
snowing	sno/IG
soaking	so/kIG
sodas	so/dxz
sooner	su/nR
speaker	spi/kR
speaking	spi/kIG
spices	spY/sIz
spider	spY/dR
spraying	spre/IG
spying	spY/IG
squeaker	skwi/kR
squeaking	skwi/kIG
squeezing	skwi/zIG
stable	ste/bxl
staples	ste/pxlz
station	ste/SIn
staying	ste/IG
steven	sti/vxn
straighten	stre/txn
straightened	stre/txnd
straightens	stre/txnz
straining	stre/nIG
stupid	stu/pId
styling	stY/lIG
stylish	stY/lIS
super	su/pR
susan	su/zIn
sweeping	swi/pIG
sweetest	swi/tIst
swollen	swo/lIn
table	te/bxl
taken	te/kxn
taking	te/kIG
taping	te/pIG
tasted	te/stId
tasting	te/stIG
teacher	ti/CR
teacher's	ti/CRz
teasing	ti/zIG
teething	ti/DIG
thousand	TW/zInd
throwing	Tro/IG
tiger	tY/gR
tigers	tY/gRz
tighter	tY/tR
timer	tY/mR
timing	tY/mIG
tiny	tY/ni
tiring	tY/rIG
toilet	tO/lIt
tooting	tu/tIG
totem	to/txm
tower	tW/R
towers	tW/Rz
training	tre/nIG
trousers	trW/zRz
trying	trY/IG
tubing	tu/bIG
tulip	tu/lIp
tulips	tu/lIps
tying	tY/IG
typing	tY/pIG
unit	yu/nIt
uses	yu/sIz
using	yu/zIG
viper	vY/pR
wafer	we/fR
wafers	we/fRz
waited	we/tId
waiting	we/tIG
waking	we/kIG
wasted	we/stId
wasting	we/stIG
waving	we/vIG
weasel	wi/zxl
weaving	wi/vIG
whining	wY/nIG
wider	wY/dR
wipers	wY/pRz
wiping	wY/pIG
writing	rY/tIG
xavier	zev/yR
yogurt	yo/gRt
zealand	zi/lxnd
zebras	zi/brxz
zooming	zu/mIG
ahab	e/h@b
blowup	blo/^p
crayon	kre/an
crayons	kre/anz
day+care	de/ker
detour	di/tur
doughnut	do/n^t
doughnuts	do/n^ts
eyeball	Y/bcl
eyeglass	Yg/l@s
haystack	he/st@k
haystacks	he/st@ks
high+chair	hY/Cer
ideas	Y/di/xz
keyboard	ki/bord
kleenex	kli/nEks
makeup	me/k^p
myself	mY/sElf
neon	ni/an
newborns	nu/bcrnz
newport	nu/port
nowhere	no/wer
paycheck	pe/CEk
peanut	pi/n^t
peanuts	pi/n^ts
playoffs	ple/cfs
playpen	ple/pEn
playtex	ple/tEks
program	pro/gr@m
rebuild	ri/bIld
refill	ri/fIl
replant	ri/pl@nt
repot	ri/pat
sea+shells	si/SElz
seagulls	si/g^lz
seashore	si/Sor
shoestring	Su/strIG
shoestrings	Su/strIGz
snowballs	sno/bclz
snowman	sno/m@n
snowmen	sno/mEn
teapot	ti/pat
toucan	tu/k@n
tripod	trY/pad
weekend	wi/kEnd
yukon	yu/kan
meow	mi/W
baby	be/bi
bailey	be/li
beady	bi/di
beauty	byu/ti
bony	bo/ni
booty	bu/ti
chewy	Cu/i
cloudy	klW/di
cozy	ko/zi
crazy	kre/zi
creamy	kri/mi
creepy	kri/pi
croaky	kr@U/kI
cutie	kyu/ti
daily	de/li
daisy	de/zi
doozy	du/zi
downie	dW/ni
downy	dW/ni
dreamy	dri/mi
droopy	dru/pi
easy	i/zi
facie	fe/si
frutti	fru/ti
genie	Ji/ni
gloomy	glu/mi
goofy	gu/fi
goopy	gu/pI
gravy	gre/vi
greasy	gri/si
greedy	gri/di
grouchy	grW/Ci
gucci	gu/Ci
halo	he/lo
hayley	he/li
hokey	ho/ki
holy	ho/li
icy	Y/si
ivy	Y/vi
jodie	Jo/di
joey	Jo/i
judy	Ju/di
juicy	Ju/si
julie	Ju/li
katie	ke/ti
katy	ke/ti
kiki	ki/ki
kiwi	ki/wi
lady	le/di
lazy	le/zi
leafy	li/fi
lucy	lu/si
maybe	me/bi
meanie	mi/ni
meaty	mi/ti
mighty	mY/ti
mikey	mY/ki
moody	mu/di
movie	mu/vi
navy	ne/vi
neato	ni/to
nightie	nY/ti
ninety	nYn/ti
noisy	nO/zi
nosey	n@U/zI
pasty	pes/ti
phony	fo/ni
photo	fo/to
pokey	po/ki
pony	po/ni
posy	po/zi
pouty	pW/ti
rainy	re/ni
really	ri/x/li
rightie	rY/ti
roomy	ru/mi
rosie	ro/zi
rosy	ro/zi
ruby	ru/bi
shady	Se/di
shaky	Se/ki
shiny	SY/ni
sleepy	sli/pi
slimy	slY/mi
slowly	slo/li
smiley	smY/li
smoky	smo/ki
sneaky	sni/ki
snowy	sno/i
soapy	so/pi
sophie	so/fi
soupy	su/pi
speedy	spi/di
spicy	spY/si
squeaky	skwi/ki
stacy	ste/si
susie	su/zi
suzy	su/zi
sweetie	swi/ti
tasty	tes/ti
teenie	ti/ni
teeny	ti/ni
tofu	to/fu
truly	tru/li
tutti	tu/ti
weepy	wi/pi
wheeling	wi/lIG
wily	wY/li
yuli	yu/li
bobo	bo/bo
booboo	bu/bu
chico	Ci/ko
cocoa	ko/ko
cowboy	kW/bO
eyebrow	Y/brW
fido	fY/do
friday	frY/de
lego	lE/go
nino	ni/no
obey	o/be
ok	o/ke
okay	o/ke
polo	po/lo
psycho	sY/ko
redo	ri/du
relay	ri/le
tutu	tu/tu
tyco	tY/ko
weewee	wi/wi
yoyo	yo/yo
babies	be/biz
baby's	be/biz
booties	bu/tiz
brownies	brW/niz
ladies	le/diz
lady's	le/diz
movies	mu/viz
ouchies	W/Ciz
sweeties	swi/tiz
wheaties	wi/tiz
chichi's	Ci/Ciz
chinese	CY/niz
daytime	de/tYm
eighteen	e/tin
email	i/mel
eyebrows	Y/brWz
eyesight	Y/sYt
homemade	ho/med
legos	lE/goz
levis	li/vYz
mayonnaise	me/x/nez
mobile	mo/bil
playground	ple/grWnd
playhouse	ple/hWs
playroom	ple/rum
playtime	ple/tYm
produce	pra/dus
protein	pro/tin
realize	ri/x/lYz
repaint	ri/pent
routine	ru/tin
seafood	si/fud
shoelace	Su/les
snowflakes	sno/fleks
teaspoon	tis/pun
throughout	Tru/Wt
toenail	to/nel
toenails	to/nelz
unique	yu/nik
wipe+out	wY/pWt
china	CY/nx
coca	ko/kx
cola	ko/lx
judah	Ju/dx
kayla	ke/lx
lima	li/mx
lisa	li/sx
lola	lo/lx
noah	no/x
pina	pin/yx
pizza	pit/sx
scuba	sku/bx
sheila	Si/lx
soda	so/dx
sofa	so/fx
tuna	tu/nx
zebra	zi/brx
idea	Y/di/x
seesaw	si/sc
ancient	en/CInt
angel	en/Jxl
angels	en/Jxlz
angle	@G/gxl
ankle	@G/kxl
ankles	@G/kxlz
banging	b@G/IG
basement	bes/mInt
blanket	bl@G/kIt
blankets	bl@G/kIts
booster	bus/tR
bouncer	bWn/sR
bounces	bWn/sIz
bouncing	bWn/sIG
bounder	bWn/dR
bracelet	bres/lIt
brightness	brYt/nIs
changes	Cen/JIz
changing	Cen/JIG
coaster	kos/tR
coasters	ko/stRz
colder	kol/dR
coleman	kol/mxn
counter	kWn/tR
counting	kWn/tIG
faithful	feT/fxl
feeling	fi/lIG
feelings	fi/lIGz
finding	fYn/dIG
folded	fol/dId
folding	fol/dIG
fountain	fWn/txn
golden	gol/dIn
grateful	gret/fxl
grinding	grYn/dIG
growling	grW/lIG
hanger	h@/GR
hangers	h@G/Rz
hanging	h@G/IG
holder	hol/dR
holding	hol/dIG
hopeful	hop/fxl
language	l@G/gwIJ
lightening	lY/tx/nIG
lightning	lYt/nIG
manger	men/JR
mountain	mWn/txn
mountains	mWn/txnz
mouthful	mWT/fxl
movement	muv/mInt
ointment	On/tmInt
olden	ol/dxn
older	ol/dR
ounces	Wn/sIz
outlet	Wt/lEt
oyster	Os/tR
painful	pen/fxl
painted	pen/tId
painting	pen/tIG
pavement	pev/mInt
peaceful	pis/fxl
pointed	pOn/tId
pointer	pOn/tR
pointing	pOn/tIG
poster	pos/tR
pounding	pWn/dIG
ranger	ren/JR
rooster	rus/tR
roosters	ru/stRz
shoulder	Sol/dR
shoulders	Sol/dRz
soldier	sol/JR
soldiers	sol/JRz
sounded	sWn/dId
sounding	sWn/dIG
spoonful	spun/fxl
spoonfuls	spun/fxlz
stranger	stren/JR
tangled	t@G/gxld
thanking	T@G/kIG
toasted	to/stId
toaster	tos/tR
toothless	tuT/lIs
treatment	trit/mInt
useful	yus/fxl
useless	yu/slIs
winder	wYn/dR
yanking	y@G/kIG
baseball	bes/bcl
bean+stalk	bin/stck
clean+up	kli/n^p
downstairs	dWn/sterz
goldfish	gol/dfIS
grown+ups	gro/n^ps
holdup	hol/d^p
homework	hom/wRk
lightbulb	lYt/b^lb
mailbox	mel/baks
mailman	mel/m@n
meatballs	mit/bclz
nightshirt	nYt/SRt
outfit	Wt/fIt
raindrops	ren/draps
reindeer	ren/dir
roadblock	rod/blak
sidetracked	sYd/tr@kt
sidewalk	sYd/wck
skateboard	sket/bord
skateboards	sket/bordz
spaceship	spes/SIp
sweetheart	swit/hart
tool+box	tul/baks
toothbrush	tuT/br^S
angry	@G/gri
beastly	bis/tli
bouncy	bWn/si
bounty	bWn/ti
closely	klo/sli
county	kWn/ti
cranky	kr@G/ki
dainty	den/ti
feisty	fY/sti
frankly	fr@G/kli
goldie	gol/di
greatly	gret/li
jewelry	Jul/ri
kindly	kYn/dli
lately	let/li
likely	lYk/li
lonely	lon/li
mainly	men/li
mostly	mos/tli
neatly	nit/li
nicely	nY/sli
only	on/li
plainly	plen/li
pointy	pOn/ti
safety	sef/ti
tightly	tYt/li
toasty	to/sti
wildly	wYld/li
yankee	y@G/ki
driveway	drYv/we
firefly	fYr/flY
mango	m@G/go
raceway	re/swe
rainbow	ren/bo
tuesday	tuz/de
briefcase	brif/kes
download	dWn/lod
downstream	dWn/strim
downtown	dWn/tWn
grapefruit	grep/frut
house+coat	hW/skot
meantime	min/tYm
meanwhile	min/wYl
meat+loaf	mit/lof
moonlight	mun/lYt
mouthpiece	mWT/pis
nightgown	nYt/gWn
nighttime	nYt/tYm
nineteen	nYn/tin
noontime	nun/tYm
nosedives	noz/dYvz
oatmeal	ot/mil
outgrown	Wt/gron
outside	Wt/sYd
railroad	re/lrod
raincoat	ren/kot
sailboat	sel/bot
school+house	skul/hWs
sideways	sYd/wez
suitcase	sut/kes
fireplace	fYr/ples
kinda	kYn/dx
outlaw	Wt/lc
metal	mE/txl
above	x/b^v
accept	Ek/sEpt
across	x/krcs
adore	x/dor
adult	x/d^lt
advanced	@d/v@nst
afford	x/ford
again	x/gEn
against	x/gEnst
ahead	x/hEd
alarm	x/larm
along	x/lcG
among	x/m^G
apart	x/part
appeared	x/pird
appears	x/pirz
attach	x/t@C
attached	x/t@Ct
attack	x/t@k
attacked	x/t@kt
because	bx/kcz
become	bI/k^m
becomes	bI/k^mz
before	bx/for
began	bx/g@n
begin	bx/gIn
begins	bx/gInz
begun	bx/g^n
belong	bx/lcG
belongs	bx/lcGz
beyond	bi/and
cement	sx/mEnt
collapse	kx/l@ps
collect	kx/lEkt
connect	kx/nEkt
declare	dI/kler
defrost	dI/frcst
deluxe	dx/l^ks
demand	dI/m@nd
depend	dI/pEnd
deserve	dI/zRv
dessert	dI/zRt
direct	dI/rEkt
duress	dx/rEs
effects	I/fEkts
elisse	pe/lis
enough	I/n^f
garage	gx/raZ
giraffe	Jx/r@f
giraffes	Jx/r@fs
guitar	gI/tar
massage	mx/saZ
o'clock	x/klak
prefer	prI/fR
pretend	prI/tEnd
prevents	prx/vEnts
protect	prx/tEkt
relax	rx/l@ks
relaxed	rx/l@kst
report	rI/port
results	rI/z^lts
return	rI/tRn
returned	rI/tRnd
reverse	rI/vRs
reward	rI/wcrd
secure	sx/kyUr
suggest	sx/JEst
toward	tord
towards	tordz
upon	x/pcn
within	wI/DIn
adam	@/dxm
adam's	@/dxmz
added	@/dId
adding	@/dIG
airing	e/rIG
alex	@/lIks
allen	@/lIn
apple	@/pxl
apples	@/pxlz
ashes	@/SIz
asking	@/skIG
attic	@/tIk
august	c/gxst
awesome	c/sxm
awful	c/fxl
awkward	c/kwRd
babbling	b@/blIG
backward	b@/kwRd
backwards	b@/kwRdz
balance	b@/lxns
balling	bc/lIG
banner	b@/nR
baring	be/rIG
barrels	b@/rxlz
batter	b@/tR
battle	b@/txl
beggar	bE/gR
begging	bE/gIG
bigger	bI/gR
biggest	bI/gxst
bitter	bI/tR
blessing	blE/sIG
blessings	blE/sIGz
blocking	bla/kIG
blossomed	bla/sxmd
bobbing	ba/bIG
bonnet	ba/nIt
bossing	bc/sIG
boston	bc/stIn
bother	ba/DR
bothered	ba/DRd
bottle	ba/txl
bottles	ba/txlz
bottom	ba/txm
bottoms	ba/txmz
bridges	brI/JIz
brigitte	brI/JIt
bristles	brI/sxlz
britches	brI/CIz
broader	brc/dR
brother	br^/DR
brothers	br^/DRz
brushing	br^/SIG
bubble	b^/bxl
bubbles	b^/bxlz
bucket	b^/kIt
buckets	b^/kIts
buckle	b^/kxl
buckled	b^/kxld
buckles	b^/kxlz
bugging	b^/gIG
bummer	b^/mR
bumming	b^/mIG
bushel	bU/Sxl
bushes	bU/SIz
butter	b^/tR
button	b^/txn
buttons	b^/txnz
buzzing	b^/zIG
cabbage	k@/bIJ
camel	k@/mxl
camels	k@/mxlz
carol	k@/rxl
carriage	k@/rIJ
carrot	k@/rIt
carrots	k@/rIts
castle	k@/sxl
catcher	k@/CR
catches	k@/CIz
catching	k@/CIG
causing	kc/zIG
challenge	C@/lInJ
channel	C@/nxl
channels	C@/nxlz
checking	CE/kIG
chicken	CI/kIn
chickens	CI/kInz
christened	krI/sInd
citrus	sI/trIs
clapping	kl@/pIG
clever	klE/vR
clicker	klI/kR
clicking	klI/kIG
clifford	klI/fRd
clinic	klI/nIk
clippers	klI/pRz
clipping	klI/pIG
closet	klc/zIt
clutter	kl^/tR
cockle	ka/kxl
collar	ka/lR
college	ka/lIJ
color	k^/lR
colored	k^/lRd
colors	k^/lRz
column	ka/lxm
coming	k^/mIG
comment	ka/mEnt
common	ka/mxn
cooking	kU/kIG
coral	kc/rxl
corral	kx/r@l
cotton	ka/txn
coughing	kc/fIG
couple	k^/pxl
cousin	k^/zIn
cousins	k^/zInz
cover	k^/vR
covered	k^/vRd
covers	k^/vRz
crabbing	kr@/bIG
cracker	kr@/kR
crackers	kr@/kRz
crawler	krc/lR
crawling	krc/lIG
credit	krE/dIt
crickets	krI/kIts
crooked	krU/kxd
crossing	krc/sIG
cupboard	k^/bRd
cushion	kU/SIn
cushioned	kU/SInd
cushions	kU/SInz
cutting	k^/tIG
damage	d@/mIJ
daring	de/rIG
daughter	dc/tR
dennis	dE/nIs
desert	dI/zRt
devil	dE/vxl
devon	dE/vxn
diddle	dI/dxl
difference	dI/frIns
different	dI/frInt
digger	dI/gR
digging	dI/gIG
dinner	dI/nR
dinners	dI/nRz
dishes	dI/SIz
dollar	da/lR
dollars	da/lRz
donald	da/nxld
double	d^/bxl
dozen	d^/zIn
dragging	dr@/gIG
dragon	dr@/gxn
drawing	drc/IG
dresser	drE/sR
dresses	drE/sIz
dressing	drE/sIG
dripping	drI/pIG
dropping	dra/pIG
drummer	dr^/mR
drumming	dr^/mIG
during	dU/rIG
dusted	d^/stId
dusting	d^/stIG
effort	E/fRt
eric	E/rIk
erin	E/rIn
ever	E/vR
fasten	f@/sIn
fastens	f@/sInz
faster	f@/stR
father	fa/DR
father's	fa/DRz
feather	fE/DR
feathers	fE/DRz
fennel	fE/nxl
ferris	fE/rIs
fickle	fI/kxl
fiddle	fI/dxl
fiddles	fI/dxlz
figure	fI/gyR
figured	fIg/yRd
figures	fIg/yRz
finish	fI/nIS
finished	fI/nISt
fisher	fI/SR
fishes	fI/SIz
fishing	fI/SIG
fitting	fI/tIG
flashes	fl@/SIz
flipping	flI/pIG
flutter	fl^/tR
flutters	fl^/tRz
forest	fc/rIst
forum	fo/rxm
fossil	fc/sxl
freddy	frE/di
fusser	f^/sR
fussing	f^/sIG
gather	g@/DR
giggle	gI/gxl
giggles	gI/gxlz
gimmick	gI/mIk
gimmicks	gI/mIks
given	gI/vxn
giver	gI/vR
giving	gI/vIG
gladys	gl@/dIs
glasses	gl@/sIz
gobble	ga/bxl
goggles	ga/gxlz
gotten	ga/txn
grabbing	gr@/bIG
grasses	gr@/sIz
gravel	gr@/vxl
griffin	grI/fIn
habit	h@/bIt
habits	h@/bIts
hammer	h@/mR
hammock	h@/mxk
happen	h@/pxn
happened	h@/pxnd
happens	h@/pxnz
hassle	h@/sxl
having	h@/vIG
hazard	h@/zRd
headed	hE/dId
heading	hE/dIG
heaven	hE/vxn
heavens	hE/vxnz
hiccup	hI/kxp
hiccups	hI/kxps
hidden	hI/dxn
hitting	hI/tIG
hogging	hc/gIG
holler	ha/lR
hopping	ha/pIG
hugger	h^/gR
hugging	h^/gIG
humming	h^/mIG
jacket	J@/kIt
jackets	J@/kIts
jealous	JE/lIs
jogging	Ja/gIG
karen	k@/rIn
kettle	kE/txl
kevin's	kE/vInz
kicking	kI/kIG
kidding	kI/dIG
kisses	kI/sIz
kissing	kI/sIG
kitchen	kI/CIn
kitten	kI/txn
kittens	kI/txnz
knocking	na/kIG
kristen	krI/stIn
lacking	l@/kIG
ladder	l@/dR
latin	l@/txn
laughing	l@/fIG
laura's	lc/rxz
lawrence	lc/rIns
legend	lE/JInd
leggings	lE/gIGz
lemon	lE/mxn
lemons	lE/mxnz
leopard	lE/pRd
letter	lE/tR
letters	lE/tRz
letting	lE/tIG
lettuce	lE/tIs
level	lE/vxl
licking	lI/kIG
limit	lI/mIt
limits	lI/mIts
linen	lI/nIn
liquids	lI/kwIdz
listen	lI/sIn
listened	lI/sInd
litter	lI/tR
little	lI/txl
living	lI/vIG
lizard	lI/zRd
locking	la/kIG
looking	lU/kIG
lover	l^/vR
loving	l^/vIG
luggage	l^/gIJ
magic	m@/JIk
mallet	m@/lIt
mammals	m@/mxlz
manage	m@/nIJ
managed	m@/nIJd
marriage	m@/rIJ
mashing	m@/SIG
massive	m@/sIv
matter	m@/tR
matters	m@/tRz
mattress	m@/trIs
measure	mE/ZR
measures	mE/ZRz
megan	me/gxn
melon	mE/lxn
message	mE/sIJ
messer	mE/sR
messes	mE/sIz
messing	mE/sIG
method	mE/Txd
middle	mI/dxl
minutes	mI/nIts
mirror	mI/rR
missing	mI/sIG
mission	mI/SIn
missus	mI/sIz
mister	mIs/tR
mittens	mI/txnz
model	ma/dxl
mopping	ma/pIG
mother	m^/DR
mothers	m^/DRz
mother's	m^/DRz
muffin	m^/fIn
muffins	m^/fInz
muppets	m^/pIts
muscle	m^/sxl
mushing	m^/SIG
napping	n@/pIG
never	nE/vR
nibbled	nI/bxld
nickel	nI/kxl
nodded	na/dId
nodding	na/dIG
noggin	na/gIn
nothing	n^/TIG
nothing's	n^/TIGz
nugget	n^/gIt
nuggets	n^/gIts
offer	c/fR
offered	c/fRd
office	c/fIs
often	c/fxn
olive	a/lIv
olives	a/lIvz
onion	^/nyxn
onions	^n/yxnz
oral	o/rxl
orange	c/rInJ
oscar	a/skR
other	^/DR
others	^/DRz
oven	^/vxn
package	p@/kIJ
packet	p@/kIt
packing	p@/kIG
palace	p@/lIs
panicked	p@/nIkt
parents	p@/rInts
parrot	p@/rIt
patches	p@/CIz
patterns	p@/tRnz
patting	p@/tIG
pausing	pc/zIG
pedals	pE/dxlz
pepper	pE/pR
peppers	pE/pRz
pepper's	pE/pRz
petal	pE/txl
petals	pE/txlz
petted	pE/tId
petting	pE/tIG
phonics	fa/nIks
picking	pI/kIG
pickle	pI/kxl
pickles	pI/kxlz
pigeon	pI/JIn
pitcher	pI/CR
pigeons	pI/JInz
planet	pl@/nIt
platter	pl@/tR
pleasant	plE/zInt
pocket	pa/kIt
pockets	pa/kIts
polish	pa/lIS
popping	pa/pIG
porridge	pc/rIJ
possums	pa/sxmz
potter	pa/tR
pouring	po/rIG
precious	prE/SIs
presence	prE/zIns
present	prE/zInt
presents	prE/zInts
pressing	prE/sIG
problem	prab/lxm
problems	pra/blxmz
product	pra/dxkt
products	pra/dxkts
project	pra/JEkt
projects	pra/JEkts
promise	pra/mIs
promised	pra/mIst
proper	pra/pR
publish	p^b/lIS
pucker	p^/kR
pudding	pU/dIG
puddle	p^/dxl
puddles	p^/dxlz
pulling	pU/lIG
puppet	p^/pIt
pushes	pU/SIz
pushing	pU/SIG
putted	p^/tId
putting	p^/tIG
puzzle	p^/zxl
puzzles	p^/zxlz
quacking	kw@/kIG
quarrel	kwc/rxl
quitter	kwI/tR
rabbit	r@/bIt
rabbits	r@/bIts
rabbit's	r@/bIts
radish	r@/dIS
rashes	r@/SIz
rather	r@/DR
rattle	r@/txl
rattles	r@/txlz
record	rE/kRd
records	rE/kRdz
rhythm	rI/Dxm
ribbon	rI/bxn
ribbons	rI/bxnz
richard	rI/CRd
ripping	rI/pIG
risen	rI/zIn
river	rI/vR
rivers	rI/vRz
robert	ra/bRt
roberts	ra/bRts
robin	ra/bIn
rocker	ra/kR
rocking	ra/kIG
rotten	ra/txn
rougher	r^/fR
rubber	r^/bR
rubbing	r^/bIG
ruffle	r^/fxl
runner	r^/nR
running	r^/nIG
rushing	r^/SIG
russell	r^/sxl
rustles	r^/sxlz
salad	s@/lId
salmon	s@/mxn
sausage	sc/sIJ
scaring	ske/rIG
schedule	skE/JUl
scissors	sI/zRz
scottish	ska/tIS
scratching	skr@/CIG
scribble	skrI/bxl
second	sE/kxnd
seconds	sE/kxndz
seller	sE/lR
selling	sE/lIG
session	sE/SIn
setting	sE/tIG
settle	sE/txl
settled	sE/txld
seven	sE/vIn
seventh	sE/vInT
shallots	S@/lxts
sharing	Se/rIG
sharon	S@/rIn
shedding	SE/dIG
sheriff	SE/rIf
shiver	SI/vR
shopper	Sa/pR
shopping	Sa/pIG
shouldn't	SU/dxnt
should've	SU/dxv
shovel	S^/vxl
shovels	S^/vxlz
shriveled	rI/vxld
shutter	S^/tR
shutters	S^/tRz
shutting	S^/tIG
sibling	sIb/lIG
simmer	sI/mR
sitting	sI/tIG
slamming	sl@/mIG
slipper	slI/pR
slippers	slI/pRz
slipping	slI/pIG
slobber	sla/bR
slobbered	sla/bRd
slopping	sla/pIG
smacking	sm@/kIG
smaller	smc/lR
smashing	sm@/SIG
smelling	smE/lIG
snacking	sn@/kIG
snapping	sn@/pIG
snipper	snI/pR
snoring	sno/rIG
snuggle	sn^/gxl
snuggled	sn^/gxld
soccer	sa/kR
solid	sa/lId
sonic	sa/nIk
spanish	sp@/nIS
special	spE/Sxl
spelling	spE/lIG
spilling	spI/lIG
spinach	spI/nIC
spinning	spI/nIG
spirit	spI/rIt
spitting	spI/tIG
splashing	spl@/SIG
stacking	st@/kIG
staring	ste/rIG
static	st@/tIk
steering	sti/rIG
stepping	stE/pIG
sticker	stI/kR
stickers	stI/kRz
sticking	stI/kIG
stirring	stR/rIG
stocking	sta/kIG
stomach	st^/mxk
stopper	sta/pR
stopping	sta/pIG
stretches	strE/CIz
stretching	strE/CIG
stroller	stro/lR
struggled	str^/gxld
stubborn	st^/bRn
stutter	st^/tR
sucker	s^/kR
sucking	s^/kIG
sudden	s^/dxn
sugar	SU/gR
summer	s^/mR
summer's	s^/mRz
summoned	s^/mxnd
supper	s^/pR
sweater	swE/tR
sweaters	swE/tRz
swelling	swE/lIG
swimmer	swI/mR
swimming	swI/mIG
syrup	sI/rxp
talker	tc/kR
talking	tc/kIG
taller	tc/lR
tallest	tc/lIst
tearing	tE/rIG
telling	tE/lIG
tennis	tE/nIs
thicker	TI/kR
thistle	TI/sxl
thrasher	Tr@/SR
ticket	tI/kIt
tickets	tI/kIts
tickle	tI/kxl
tickled	tI/kxld
tickles	tI/kxlz
tipping	tI/pIG
topic	ta/pIk
toppings	ta/pIGz
tosses	tc/sIz
touches	t^/CIz
touching	t^/CIG
traffic	tr@/fIk
trashing	tr@/SIG
travels	tr@/vxlz
triple	trI/pxl
tripping	trI/pIG
trouble	tr^/bxl
tucker	t^/kR
tugging	t^/gIG
tunnel	t^/nxl
twiddle	twI/dxl
upper	^/pR
visit	vI/zIt
waffle	wc/fxl
